Name,Region,Zone,Address,Phone,Monthly_schedule,Start_time,End_time,Appointment,Requirements,Distribution_mode,Packaging,Notes,Day,Processed_For_Geocoding,Latitude,Longitude
First Baptist Church of Highland Park : First Baptist Church of Highland Park,MD, Prince George's County, First Baptist Church of Highland Park 6801 Sheriff Road Landover MD 20785,(301) 773-6655,3rd of the Month,09:00 AM,Until Food Runs Out,No,ID,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,Can make appointments on non-distribution days,All || Saturday,6801 Sheriff Road Landover MD 20785,38.909774,-76.890797
Alexander Memorial Baptist Church : Alexander Memorial Baptist Church,MD, Prince George's County, Alexander Memorial Baptist Church 10675 Crain Highway Upper Marlboro MD 20772,(240) 601-0247,Every week,12:00 PM,01:00 PM,No,Income,Walk up,"Loose groceries,Pre-bagged or boxed groceries",Income reporting for TEFAP only.,Saturday || Sunday,10675 Crain Highway Upper Marlboro MD 20772,38.8130057,-76.7584438
St. John's Norwood Episcopal Church : Nourishing Bethesda,MD, Montgomery County, St. John's Norwood Episcopal Church 5020 Battery Lane Bethesda MD 20814,(301) 437-2752,Every week,06:00 PM,08:00 PM,Yes,ID,Walk up,Loose groceries,Eligible clients must live within out 47 square mile geographical service area or work in Bethesda. We reserve the right to require proof of address/or job location.,Friday || Thursday,5020 Battery Lane Bethesda MD 20814,38.9921934,-77.1013767
Mollemm Food Pantry : Mollemm Food Pantry,MD, Prince George's County, Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,(301) 248-7742,3rd of the Month,11:00 AM,11:30 AM,Yes,Zip Code,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries",This site is for drop off only for senior residents,Saturday || Sunday || Thursday || Tuesday || Wednesday,9721 Good Luck Road Lanham MD 20706,38.9831296,-76.8411957
Gaithersburg CARES Hub at Seneca Creek Community Church : Seneca Creek Community Church (Gaithersburg CARES),MD, Montgomery County, Seneca Community Church 13 Firstfield Rd Gaithersburg MD 20878,(301) 793-3321,Every week,10:00 AM,04:30 PM,Yes,,Walk up,Other,,Friday || Saturday || Thursday || Tuesday,13 Firstfield Rd Gaithersburg MD 20878,39.140033,-77.225364
Kingdom Global Community Development Corporation : East Montgomery County Hub,MD, Montgomery County, Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,(202) 352-7114,4th of the Month,05:00 PM,07:30 PM,No,ID,Walk up,,"This food distribution takes place at the Enclaves Apartments located at 11225 Oak leaf Drive, Silver Spring MD 20901. Distribution takes place in large parking lot behind pool and adjacent to Leasing Office. .",Friday || Saturday || Thursday || Tuesday || Wednesday,11710 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
Rainbow Community Development Center : Rainbow Community Development Center,MD, Montgomery County, Rainbow Community Development Center 2120 Industrial Parkway A Silver Spring MD 20904,(301) 625-2561,Every week,09:00 AM,12:00 PM,Yes,"ID,Income,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries","Tuesday and Thursday are by appointment only in zip codes 20901, 20903, 20904, 20905, 20906, 20866, 20868.  Saturdays are open to all MoCo zip codes..  First time clients call 301-625-2561",Saturday || Thursday,2120 Industrial Parkway A Silver Spring MD 20904,,
Edward C Mazique Child Care Center : Edward C Mazique Child Care Center,DC, Ward 2, Edward C Mazique Child Care Center 1719 13th St NW Washington DC 20009,(202) 462-3375,Every week,12:00 PM,04:00 PM,No,,Walk up,Loose groceries,,Friday || Monday || Thursday || Tuesday || Wednesday,1719 13th St NW Washington DC 20009,38.9132721,-77.0292766
Saint Benedict The Moor : Saint Benedict The Moor,DC, Ward 7, Saint Benedict The Moor 320 21st Street NE Washington DC 20002,,3rd of the Month,09:30 AM,12:00 PM,No,"ID,Income",Walk up,Pre-bagged or boxed groceries,,Monday,320 21st Street NE Washington DC 20002,38.8942259,-76.9754575
Greater New Hope Baptist Church : Greater New Hope Baptist Church,DC, Ward 2, Greater New Hope Baptist Church 816 8th STREET NW Washington DC 20001,(301) 357-4905,2nd of the Month,11:00 AM,01:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries,Prepared meals",,Tuesday,816 8th STREET NW Washington DC 20001,38.9000706,-77.0230481
Dupont Park SDA Church : Dupont Park SDA Church,DC, Ward 7, Dupont Park SDA Church 3942 Alabama Ave SE Washington DC 20019,(301) 980-6274,"1st, 2nd, and 4th of the Month",10:00 AM,12:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Tuesday,3942 Alabama Ave SE Washington DC 20019,38.8696457,-76.9480239
Hughes United Methodist Church : Hughes United Methodist Church,MD, Montgomery County, Hughes United Methodist Church 10700 Georgia Ave Wheaton  MD 20902,(301) 949-8383,Every week,09:30 AM,12:00 PM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,Montgomery County Residents,Tuesday || Wednesday,10700 Georgia Ave Wheaton MD 20902,39.0307141,-77.0483782
InterFaith Works : InterFaith Works,MD, Montgomery County, InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,(240) 370-4984,Every week,09:00 AM,04:00 PM,Yes,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,Friday || Saturday || Thursday || Tuesday || Wednesday,751 Twinbrook Parkway Rockville MD 20851,39.0813947,-77.1140394
NHT Communities : R Street Apartments,DC, Ward 2, NHT Communities - R St. Apartments 1436 R St NW Washington DC 20009,(202) 621-1617,Every week,11:00 AM,04:00 PM,No,,"Home Delivery,Walk up",Loose groceries,,Thursday,1436 R St NW Washington DC 20009,38.9123712,-77.0340148
NHT Communities : Monsenor Romero,DC, Ward 1, NHT Communities - Monsenor Romero 3145 Mt Pleasant St NW Washington DC 20010,(202) 333-8931,Every week,11:00 AM,04:00 PM,No,,"Home Delivery,Walk up",Loose groceries,,Monday || Wednesday,3145 Mt Pleasant St NW Washington DC 20010,38.9298594,-77.037567
Walker Memorial Baptist Church : Walker Memorial Baptist Church,DC, Ward 1, Walker Memorial Baptist Church 2020 13th St. NW Washington DC 20009,(202) 232-1120,3rd of the Month,11:00 AM,01:00 PM,Yes,,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,Thursday || Wednesday,2020 13th St. NW Washington DC 20009,38.9176047,-77.0299837
"Small Things Matter, Inc : Small Things Matter, Inc",MD, Montgomery County, Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,(202) 669-8550,1st of the Month,04:00 PM,06:00 PM,Yes,"ID,Zip Code",Walk up,Loose groceries,during the school year only,Friday || Saturday || Sunday || Thursday || Tuesday,201 Ethan Allen Avenue Takoma Park MD 20912,38.9776841,-77.0059115
"The House, Inc. : The House, Inc.",VA, Prince William County," The House, Inc. 14000 Crown Court Woodbridge VA 22193",(571) 237-5860,Every week,03:00 PM,06:00 PM,Yes,,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries,Prepared meals",,Wednesday,14000 Crown Court Woodbridge VA 22193,,
YWCA National Capital Area : YWCA National Capital Area,DC, Ward 1, YWCA National Capital Area 2303 14th Street NW Suite 100 Washington DC 20009,(202) 626-0700,Every week,12:00 PM,03:00 PM,No,,Walk up,,"To ensure fair access for everyone, each person can only come in once a week.",Monday || Thursday || Tuesday || Wednesday,2303 14th Street NW Suite 100 Washington DC 20009,,
Francis On The Hill : Francis On The Hill,DC, Ward 4, Francis on the Hill 1614 Manchester Lane NW Washington DC 20011-2810,(202) 680-0517,Every week,02:00 PM,03:00 PM,No,,"Home Delivery,Walk up",Pre-bagged or boxed groceries,Distribution is at Meridian Hill Park at 1:30.  It is a good idea to arrive early to get a number.,Tuesday,1614 Manchester Lane NW Washington DC 20011-2810,38.9610627,-77.0374776
Covenant House Greater Washington : Covenant House Greater Washington,DC, Ward 8, Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,(202) 247-0747,All,09:00 AM,04:00 PM,No,,Walk up,,,Friday || Monday || Thursday || Tuesday || Wednesday,2001 Mississippi Ave SE Washington DC 20020,38.8435958,-76.9742321
Luther Jackson Middle School Food Pantry : Luther Jackson Middle School Food Pantry,VA, Fairfax County, Luther Jackson Middle School Food Pantry 3020 Gallows Road Falls Church VA 22042,(202) 669-2543,Every Other Week,04:00 PM,05:30 PM,No,ID,Walk up,Loose groceries,"The pantry is for students and their families only. We do NOT ask for IDs, but parents must tell us the name of their enrolled student, which is verified against our list.",Wednesday,3020 Gallows Road Falls Church VA 22042,,
Emmanuel Baptist Church : Emmanuel Baptist Church,DC, Ward 8, Emmanuel Baptist Church 2409 Ainger Place SE Washington DC 20020,(202) 678-0884,1st and 3rd of the Month,04:00 PM,06:00 PM,No,,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Thursday,2409 Ainger Place SE Washington DC 20020,38.856557,-76.9718823
Buddhist Tzu Chi Foundation : Buddhist Tzu Chi Foundation,VA, Fairfax County, Buddhist Tzu Chi Foundation 1516 Moorings Drive Reston VA 20190,(804) 306-6037,3rd of the Month,09:30 AM,11:00 AM,No,"ID,Income",Walk up,Loose groceries,,Saturday,1516 Moorings Drive Reston VA 20190,,
LindaBen Foundation : LindaBen Foundation,MD, Prince George's County, LindaBen Foundation 10739 Tucker St.  Beltsville  MD 20705,(240) 461-9442,Every week,01:00 PM,03:00 PM,No,"ID,Zip Code",Walk up,,We provided Baby Essentials too,Thursday || Tuesday || Wednesday,10739 Tucker St. Beltsville MD 20705,39.0261161,-76.9083386
Tommy's Pantry : Tommy's Pantry,MD, Montgomery County, Tommy's Pantry 630 Silver Spring Ave. Silver Spring MD 20910,(202) 262-4537,1st and 3rd of the Month,07:30 AM,10:00 AM,No,,Walk up,,,Saturday,630 Silver Spring Ave. Silver Spring MD 20910,38.9919035,-77.0147421
Mid-County Hub at Harvest Intercontinental Church Olney : Mid-County Hub at Harvest Intercontinental Church Olney,MD, Montgomery County, Harvest Intercontinental Church 16227 Batchellors Forest Rd Olney MD 20832,(301) 512-5584,Every week,11:00 AM,06:00 PM,Yes,"ID,Zip Code",Walk up,Loose groceries,,Friday || Saturday || Tuesday || Wednesday,16227 Batchellors Forest Rd Olney MD 20832,,
Destiny Driven : Destiny Driven,MD, Prince George's County, Destiny Driven 5900 Princess Garden Parkway Lanham  MD 20706,(301) 455-5970,Every week,11:00 AM,01:00 PM,Yes,"ID,Zip Code",Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Friday || Saturday || Sunday || Thursday || Tuesday || Wednesday,5900 Princess Garden Parkway Lanham MD 20706,38.9658159,-76.8645706
Largo Community Church : Largo Community Church,MD, Prince George's County, Largo Community Church 1701 Enterprise Road Mitchellville MD 20721,(301) 249-2255,3rd of the Month,11:00 AM,12:00 PM,No,,Drive thru,Pre-bagged or boxed groceries,"On a first come, first serve basis.",All || Saturday,1701 Enterprise Road Mitchellville MD 20721,,
Christ4Crisis : Christ4Crisis,VA, Prince William County, Christ4Crisis 14339 Richmond high way Woodbridge  VA 22191,(571) 398-7826,Every week,10:00 AM,03:00 PM,No,,Walk up,Loose groceries,,Saturday,14339 Richmond high way Woodbridge VA 22191,,
ISKCON of Washington : ISKCON of Washington,MD, Montgomery County, ISKCON of Washington 10310 Oaklyn Dr Potomac MD 20854,(240) 277-2221,Every week,01:00 PM,02:00 PM,No,,Walk up,Prepared meals,,Friday || Monday || Saturday || Sunday || Thursday || Tuesday || Wednesday,10310 Oaklyn Dr Potomac MD 20854,,
Northern Virginia Family Service SERVE : Northern Virginia Family Services SERVE,VA, Manassas City, Northern Virginia Family Services SERVE 10056 Dean Dr Manassas VA 20110,(571) 234-9450,Every Other Week,09:30 AM,11:30 AM,Yes,ID,Walk up,Loose groceries,,Friday || Thursday || Tuesday || Wednesday,10056 Dean Dr Manassas VA 20110,38.7446355,-77.5006915
St. Michael and All Angels : St. Michael and All Angels,MD, Prince George's County, St. Michael and All Angels 8501 New Hampshire Ave  Adelphi MD  20783,(240) 882-0274,3rd of the Month,09:30 AM,11:30 AM,Yes,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries,Prepared meals",Please note that distribution on the 3rd Friday of each month is by appointment only.,Friday || Saturday,8501 New Hampshire Ave Adelphi MD 20783,38.9977789,-76.9838528
City of Praise Family Ministries : City of Praise Family Ministries,MD, Prince George's County, City of Praise Family Ministries 8806 Brightseat Road Landover MD 20785,(301) 404-8234,3rd of the Month,03:00 PM,04:30 PM,Yes,"ID,Income,Zip Code","Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Friday || Thursday || Tuesday,8806 Brightseat Road Landover MD 20785,38.9160199,-76.8603179
Ebenezer Church of God : Ebenezer Church of God,MD, Prince George's County, Ebenezer Church of God 7550 Buchanan St. Hyattsville MD 20784,,Every week,09:00 AM,11:00 AM,No,ID,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Saturday,7550 Buchanan St. Hyattsville MD 20784,38.9476175,-76.9396527
Arlington Bridge Builders : Arlington Bridge Builders,VA, Fairfax County, Arlington Bridge Builders 790 South Carlin Springs Road Arlington VA 22204,(571) 282-5156,Every week,10:00 AM,03:00 PM,No,Zip Code,Walk up,Loose groceries,,Saturday || Thursday || Wednesday,790 South Carlin Springs Road Arlington VA 22204,38.8570868,-77.1260739
Grace Episcopal Church : Grace Episcopal Church,VA, City of Alexandria, Grace Episcopal Church 3601 Russell Road Alexandria VA 22305,(703) 549-1980,Every week,06:00 PM,07:30 PM,No,,Walk up,Pre-bagged or boxed groceries,,Friday || Tuesday,3601 Russell Road Alexandria VA 22305,38.8372754,-77.0648158
DC Central Kitchen : DC Central Kitchen,DC, Ward 6, DC Central Kitchen 2121 1st Street SW Washington DC 20024,(202) 400-2806,Every week,08:00 AM,04:00 PM,Yes,,Walk up,Prepared meals,,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,2121 1st Street SW Washington DC 20024,38.8638958,-77.0124762
"North Capitol Collaborative, Inc. : North Capitol Collaborative, Inc.",DC, Ward 7," North Capitol Collaborative, Inc. 3230 Pennsylvania Ave SE #202 Washington DC 20020",(202) 588-1800,2nd and 4th of the Month,10:00 AM,02:00 PM,No,ID,Home Delivery,Pre-bagged or boxed groceries,Must be a DC Resident,Thursday,3230 Pennsylvania Ave SE #202 Washington DC 20020,,
ALIVE : ALIVE,VA, City of Alexandria, ALIVE 801 S Payne St Alexandria VA 22302,(703) 837-9300,4th of the Month,08:30 AM,10:30 AM,No,,Walk up,,"Last Saturday of the month, not necessarily the 4th Saturday",Saturday,801 S Payne St Alexandria VA 22302,38.7977023,-77.0560353
ACTS : ACTS,VA, Prince William County, ACTS 3901 ACTS Lane Dumfries VA 22026,(703) 441-8606,Every week,09:00 AM,11:30 AM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,"Service Area: 22025, 22026, 22125, 22134, 22135, 22172, 22191, 22192, 22193",Monday || Thursday || Tuesday,3901 ACTS Lane Dumfries VA 22026,38.5644141,-77.3289089
Latin American Youth Center : Latin American Youth Center,DC, Ward 1, Latin American Youth Center 1419 Columbia Rd NW Washington DC 20009,(202) 758-7490,Every week,09:00 AM,06:00 PM,No,,Walk up,Pre-bagged or boxed groceries,Only open to clients of LAYC,Friday || Monday || Thursday || Tuesday || Wednesday,1419 Columbia Rd NW Washington DC 20009,38.9277909,-77.0333556
Salvation Army : The Salvation Army - Solomon G Brown,DC, Ward 8, Salvation Army- Solomon 2300 Martin Luther King Ave SE Washington DC 20020,(202) 678-9770 or9771,Every week,09:00 AM,02:00 PM,Yes,,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries",,Friday || Wednesday,2300 Martin Luther King Ave SE Washington DC 20020,,
Community Family Life Services : Community Family Life Services,DC, Ward 6, Community Family Life Services 305 E Street NW Washington DC 20001,(202) 347-0511,Every week,10:00 AM,12:00 PM,No,ID,Walk up,Pre-bagged or boxed groceries,,Tuesday,305 E Street NW Washington DC 20001,38.89621,-77.0153696
Bread for the City : Bread For The City NW Center,DC, Ward 2, Bread For The City NW 1525 7th St. NW Washington DC 20001,(202) 773-2308,Every week,09:00 AM,03:00 PM,No,"ID,Zip Code",Walk up,Loose groceries,DC Residents Only,Friday || Monday || Thursday || Tuesday || Wednesday,1525 7th St. NW Washington DC 20001,38.9103207,-77.0215904
"The Holy Temple Church of Christ, Inc. : The Holy Temple Church",DC, Ward 6," The Holy Temple Church of Christ, Inc. 439 12th. Street SE Washington DC 20003",(202) 547-8364,Every week,10:00 AM,03:00 PM,No,,Walk up,Pre-bagged or boxed groceries,,Wednesday,439 12th. Street SE Washington DC 20003,38.8832136,-76.9905577
Metropolitan Baptist Church : Metropolitan Baptist Church,MD, Prince George's County,Att: Reverend Brenda Girton Mitchell Metropolitan Baptist Church 1200 Mercantile Lane Suite 115B Largo MD 20774,,2nd and 4th of the Month,10:00 AM,12:00 PM,No,,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Saturday,1200 Mercantile Lane Suite 115B Largo MD 20774,,
THRIVE DC : Thrive DC,DC, Ward 1, THRIVE DC 1525 Newton Street NW Washington DC 20010,(202) 737-9311,Every week,10:00 AM,12:00 PM,No,"ID,Income,Zip Code",Walk up,,,Thursday,1525 Newton Street NW Washington DC 20010,38.933592,-77.0355665
Family & Medical Counseling Service : Family & Medical Counseling Service,DC, Ward 8, Family & Medical Counseling Service 2041 MLK Jr. Ave. SE Suite 303 Washington DC 20020,(202) 889-7900,1st and 3rd of the Month,10:00 AM,01:00 PM,Yes,"ID,Zip Code","Drive thru,Walk up",Pre-bagged or boxed groceries,,Friday || Monday || Thursday || Tuesday || Wednesday,2041 MLK Jr. Ave. SE Suite 303 Washington DC 20020,,
Agape Early Childhood Learning : Agape Early Childhood Learning,MD, Prince George's County, Agape Early Childhood Learning 4318 Rhode Island Avenue Brentwood MD 20722,(301) 927-4674,4th of the Month,03:00 PM,05:30 PM,Yes,,Walk up,Pre-bagged or boxed groceries,"Appointments open to parents, staff, and referred families",Wednesday,4318 Rhode Island Avenue Brentwood MD 20722,38.9409284,-76.9527761
Spanish Catholic Center : Spanish Catholic Center,DC, Ward 1, Spanish Catholic Center 1618 Monroe St. NW Washington DC 20010,,Every week,10:00 AM,04:00 PM,No,Zip Code,Walk up,Loose groceries,,Monday || Thursday || Tuesday || Wednesday,1618 Monroe St. NW Washington DC 20010,38.9327141,-77.0373983
Central Union Mission : Central Union Mission,DC, Ward 6, Central Union Mission 65 Massachusetts Ave Washington DC 20001,(202) 718-0549,Every week,12:30 PM,06:00 PM,No,Zip Code,Walk up,Prepared meals,We serve Breakfast -Lunch-Dinner,Friday || Monday || Saturday || Sunday || Thursday || Tuesday || Wednesday,65 Massachusetts Ave Washington DC 20001,38.898684,-77.0110822
Miriam's Kitchen : Miriam's Kitchen,DC, Ward 2, Miriam's Kitchen 2401 Virginia Ave NW Washington DC 20037,(240) 350-1058,Every week,07:00 AM,08:00 AM,No,,Walk up,Prepared meals,,Friday || Monday || Thursday || Tuesday || Wednesday,2401 Virginia Ave NW Washington DC 20037,38.898593,-77.0516915
Emmanuel Worship Center Seventh Day Adventist Church : Emmanuel Worship Center Seventh Day Adventist Church,VA, Fairfax County, Emmanuel Worship Center Seventh Day Adventist Church 8145 Richmond Highway Alexandria VA 22309,(301) 793-8578,1st and 3rd of the Month,02:00 PM,04:00 PM,No,Zip Code,"Home Delivery,Walk up",Loose groceries,,Saturday,8145 Richmond Highway Alexandria VA 22309,38.7926156,-77.056737
Damien Ministries Food Pantry : Damien Ministries Food Pantry,DC, Ward 5, Damien Ministries Food Pantry 2200 Rhode Island AVE NE Washington DC 20018,(202) 526-3020,Every Other Week,09:30 AM,03:30 PM,Yes,"ID,Zip Code",Walk up,Loose groceries,,Monday || Thursday || Tuesday || Wednesday,2200 Rhode Island AVE NE Washington DC 20018,38.9304186,-76.9739516
McKendree-Simms-Brookland United Methodist Church : MSB Outreach House,DC, Ward 5, MSB Community Outreach House 2411 Lawrence St NE Washington DC 20018,(202) 526-3685,Every week,10:00 AM,02:00 PM,No,"ID,Zip Code",Walk up,Loose groceries,Ward Five residents only,Friday || Tuesday,2411 Lawrence St NE Washington DC 20018,38.9319534,-76.9715325
The Episcopal Church of Atonement : Atonement Food Pantry,DC, Ward 7, The Episcopal Church of Atonement 5073 East Capitol Street SE Washington DC 20019,(202) 251-7725,4th of the Month,09:00 AM,01:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries","Fresh Produce (first come, first served), non-perishables, and meat (if available)",Saturday || Tuesday || Wednesday,5073 East Capitol Street SE Washington DC 20019,38.8894648,-76.9273466
"Food for the Elderly, Inc. : At Home Away from Home",MD, Prince George's County, At Home Away from Home 1100 Dumfries Street Oxon Hill MD 20745,(240) 398-1519,1st of the Month,08:00 AM,12:00 PM,No,Zip Code,Walk up,,,Friday || Monday || Saturday || Sunday || Thursday || Tuesday || Wednesday,1100 Dumfries Street Oxon Hill MD 20745,38.7948564,-76.9893534
Sixth Church Food Closet : Sixth Church Food Closet,DC, Ward 4, Sixth Church Food Closet 5413 16th St  NW Washington DC 20011,(202) 723-5377,2nd and 4th of the Month,11:00 AM,01:00 PM,No,,Walk up,Loose groceries,No food pantry requirement,Wednesday,5413 16th St NW Washington DC 20011,38.9559,-77.0359
Adventist Community Services : Adventist Community Services of Greater Washington,MD, Montgomery County, Adventist Community Services of Greater Washington 501 Sligo Avenue Silver Springs MD  20910,(240) 793-5108,Every week,10:00 AM,12:00 PM,Yes,ID,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Monday || Thursday || Tuesday || Wednesday,501 Sligo Avenue Silver Springs MD 20910,,
Paramount Baptist Church : Paramount Baptist Church,DC, Ward 8, Paramount Baptist Church 3924 4th St SE Washington DC 20032,(202) 562-6339,Every week,11:00 AM,12:00 PM,Yes,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Wednesday,3924 4th St SE Washington DC 20032,38.8321095,-77.000264
Northeastern Presbyterian Church : Northeastern Presbyterian Church,DC, Ward 5, Northeastern Presbyterian Church 2112 Varnum St. NE Washington DC 20018,(202) 316-8744,3rd of the Month,10:00 AM,12:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Saturday,2112 Varnum St. NE Washington DC 20018,38.9433381,-76.9753573
Southern Friendship Missionary Baptist Church : Southern Friendship Missionary Baptist Church,MD, Prince George's County, Southern Friendship Missionary Baptist Church 4444 Branch Avenue Temple Hills MD 20748,(301) 523-6090,1st and 3rd of the Month,10:00 AM,01:00 PM,No,,"Drive thru,Walk up",Loose groceries,,Tuesday,4444 Branch Avenue Temple Hills MD 20748,,
Faith Temple #2 : Faith Temple #2,MD, Prince George's County, Faith Temple #2 211 Maryland Park Drive Capitol Heights MD 20743,(301) 655-1722,1st of the Month,11:00 AM,01:00 PM,No,,"Drive thru,Home Delivery",Pre-bagged or boxed groceries,We are open for anyone needing food on the 1st Tuesday of each month.,Tuesday,211 Maryland Park Drive Capitol Heights MD 20743,,
Enterprise Community Development : ECD - Overlook at Oxon Run,DC, Ward 8, Community Preservation and Development Corp 3700 9th st SE Washington DC 20032,(202) 528-0489,3rd of the Month,10:00 AM,01:00 PM,No,,Home Delivery,,,Thursday || Wednesday,3700 9th st SE Washington DC 20032,38.8358957,-76.9942616
Freedom Way Missionary Baptist Church : Freedom Way Missionary Baptist Church,MD, Prince George's County, Freedom Way Missionary Baptist Church 1266 Benning Road Capitol Heights MD 20743,(301) 807-6912,Every week,All,All,No,,"Drive thru,Home Delivery,Walk up",,,All || Tuesday,1266 Benning Road Capitol Heights MD 20743,38.8734733,-76.9285803
Shepherd's Table - Progress Place Building : Shepherd's Table - Progress Place Building,MD, Montgomery County, Shepherd's Table - Progress Place Building 8106 Georgia Avenue Silver Springs MD 20910,(301) 585-6463,Every week,07:30 AM,07:00 PM,No,,Walk up,Prepared meals,,Friday || Monday || Saturday || Sunday || Thursday || Tuesday || Wednesday,8106 Georgia Avenue Silver Springs MD 20910,,
Shabach Emergency Resource & Empowerment Center : Shabach Emergency Empowerment Center,MD, Prince George's County, Shabach Emergency Empowerment Center 403 Brightseat Rd Landover MD 20785,(301) 237-6353,Every week,09:00 AM,03:00 PM,Yes,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,403 Brightseat Rd Landover MD 20785,38.9160199,-76.8603179
T&T Tutorworld : T&T Provider My Little World,DC, Ward 5, T&T Tutorworld My Little World 2909 North Capitol St NE Washington DC 20002,(202) 607-0629,Every week,07:30 AM,05:30 PM,No,,"Home Delivery,Walk up",,,Friday || Monday || Thursday || Tuesday || Wednesday,2909 North Capitol St NE Washington DC 20002,38.9262089,-77.0087178
The Lord's Chosen Food Pantry : The Lord's Chosen Food Pantry,MD, Prince George's County, The Lord's Chosen Food Pantry 1302 Cronson Blvd Crofton MD 21114,(301) 773-7573,Every Other Week,07:00 PM,09:30 PM,Yes,Zip Code,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Wednesday,1302 Cronson Blvd Crofton MD 21114,39.0135649,-76.6995142
Whosoever Will Christian Church : Whosoever Will Christian Church,MD, Prince George's County, Whosoever Will Christian Church 4514 Sellman Road Beltsville MD 20705,(301) 257-2264,Every week,04:30 PM,06:30 PM,No,"ID,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,All || Wednesday,4514 Sellman Road Beltsville MD 20705,39.035792,-76.9137366
Women Who Care Ministries : Women Who Care Ministries,MD, Montgomery County, Women Who Care Ministries 19640 Club House Road Suite 410 Montgomery Villlage MD 20886,(301) 828-6850,Every week,10:00 AM,04:00 PM,Yes,ID,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Friday || Thursday || Tuesday || Wednesday,19640 Club House Road Suite 410 Montgomery Villlage MD 20886,,
Salvation Army (PW County) : Salvation Army  (PW County),VA, Prince William County, Salvation Army  (PW County) 1483 Old Bridge Road #102 Woodbridge VA 22192,(703) 580-8991,4th of the Month,10:00 AM,12:00 PM,No,ID,"Drive thru,Walk up",Loose groceries,Food Drive,Monday || Thursday || Wednesday,1483 Old Bridge Road #102 Woodbridge VA 22192,,
Temple of Praise : Temple of Praise,DC, Ward 8, Temple of Praise 700 Southern Avenue SE Washington DC 20032,(301) 537-3445,Every week,09:00 AM,04:00 PM,No,"ID,Income,Zip Code",Walk up,,,Sunday,700 Southern Avenue SE Washington DC 20032,38.8394771,-76.9779411
"River Jordan, Inc. : River Jordan, Inc.",MD, Prince George's County," River Jordan, Inc. 15809 Livingston Road Accokeek MD 20607",(301) 873-8704,2nd of the Month,04:00 PM,Until Food Runs Out,No,,"Drive thru,Home Delivery",Pre-bagged or boxed groceries,First come. First serve.  Drive Thru line starts at corner of Bryan Point Road and  Hickory Knoll Road (FRANKS WAY).,Saturday || Wednesday,15809 Livingston Road Accokeek MD 20607,38.6707221,-77.0133001
Zion Church Inc. : Zion Church Inc.,MD, Prince George's County, Zion Church Inc. 8829 Greenbelt Rd  Greenbelt MD 20770,(301) 633-9592,3rd of the Month,08:00 AM,12:00 PM,No,Zip Code,Home Delivery,Loose groceries,,Saturday,8829 Greenbelt Rd Greenbelt MD 20770,38.9955226,-76.8854527
ADAMS CENTER : ADAMS CENTER,VA,**Outside CAFB Service Area**, ADAMS CENTER 46903 Sugarland Road Sterling VA 20164,(703) 501-7990,Every week,10:00 AM,05:00 PM,Yes,,Walk up,Loose groceries,,Friday || Monday || Saturday || Sunday || Thursday || Tuesday || Wednesday,46903 Sugarland Road Sterling VA 20164,39.0065126,-77.3792995
