Name,Agency Region,County/Ward,Address,Phone,Day of Week,Monthly Options,Starting Time,Ending Time,By Appointment Only,Food Pantry Requirements,Distribution Models,Food Format ,Additional Note on Hours of Operations,Original_Address,Processed_For_Geocoding,Latitude,Longitude
DC Central Kitchen : DC Food Project,DC,DC Ward 4,Attn: DC Central Kitchen 3600 Calvert St. NW Washington DC 20007,(202) 400-2806,Friday,Every week,07:00 AM,03:00 PM,No,,,Loose groceries,For students/families only,Attn: DC Central Kitchen 3600 Calvert St. NW Washington DC 20007,3600 Calvert St. NW Washington DC 20007,38.9221431,-77.0712033
The Episcopal Church of Atonement : Atonement Food Pantry,DC,DC Ward 7,Attn: The Episcopal Church of Atonement 5073 East Capitol Street SE Washington DC 20019,(202) 251-7725,Wednesday,1st of the Month,04:00 PM,07:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",Non-perishables and meat (if availabile),Attn: The Episcopal Church of Atonement 5073 East Capitol Street SE Washington DC 20019,5073 East Capitol Street SE Washington DC 20019,38.8894648,-76.9273466
Spanish Catholic Center : Spanish Catholic Center,DC,DC Ward 1,Attn: Spanish Catholic Center 1618 Monroe St. NW Washington DC 20010,,Monday,Every week,10:00 AM,04:00 PM,No,Zip Code,Walk up,Loose groceries,,Attn: Spanish Catholic Center 1618 Monroe St. NW Washington DC 20010,1618 Monroe St. NW Washington DC 20010,38.9327141,-77.0373983
Spanish Catholic Center : Spanish Catholic Center,DC,DC Ward 1,Attn: Spanish Catholic Center 1618 Monroe St. NW Washington DC 20010,,Tuesday,Every week,10:00 AM,04:00 PM,No,Zip Code,Walk up,Loose groceries,,Attn: Spanish Catholic Center 1618 Monroe St. NW Washington DC 20010,1618 Monroe St. NW Washington DC 20010,38.9327141,-77.0373983
Spanish Catholic Center : Spanish Catholic Center,DC,DC Ward 1,Attn: Spanish Catholic Center 1618 Monroe St. NW Washington DC 20010,,Thursday,Every week,10:00 AM,04:00 PM,No,Zip Code,Walk up,Loose groceries,,Attn: Spanish Catholic Center 1618 Monroe St. NW Washington DC 20010,1618 Monroe St. NW Washington DC 20010,38.9327141,-77.0373983
Chrisma Charities : Chrisma Charities,MD,MD Montgomery County,Attn: Chrisma Charities 12805 Georgia Avenue Silver Spring MD 20906,,,,,,No,,,,,Attn: Chrisma Charities 12805 Georgia Avenue Silver Spring MD 20906,12805 Georgia Avenue Silver Spring MD 20906,39.0723919,-77.0648999
Chrisma Charities : Chrisma Charities,MD,MD Montgomery County,Attn: Chrisma Charities 12805 Georgia Avenue Silver Spring MD 20906,,Friday,Every week,10:00 AM,02:00 PM,No,,Walk up,Pre-bagged or boxed groceries,"Hampshire Village	3210 Norbeck Rd. Silver Spring, MD 20906",Attn: Chrisma Charities 12805 Georgia Avenue Silver Spring MD 20906,12805 Georgia Avenue Silver Spring MD 20906,39.0723919,-77.0648999
Woodbridge Church of the Nazarene : Woodbridge Church of the Nazarene,VA,VA Prince William County,Attn: Woodbridge Church of the Nazarene 14001 Smoketown Road Woodbridge VA 22193,(703) 670-2252,Tuesday,2nd and 4th of the Month,06:30 PM,08:30 PM,No,,Walk up,Loose groceries,,Attn: Woodbridge Church of the Nazarene 14001 Smoketown Road Woodbridge VA 22193,14001 Smoketown Road Woodbridge VA 22193,,
Living Faith Lutheran Church : Living Faith Lutheran Church,MD,MD Montgomery County,Attn: Living Faith Lutheran Church 1605 Veirs Mill Road Rockville MD 20851,(301) 424-8622,Tuesday,Every Other Week,09:00 AM,Until Food Runs Out,No,,Walk up,Pre-bagged or boxed groceries,,Attn: Living Faith Lutheran Church 1605 Veirs Mill Road Rockville MD 20851,1605 Veirs Mill Road Rockville MD 20851,39.0768558,-77.1236242
Hope Presbyterian Church : Hope Presbyterian Church,MD,MD Prince George's County,Attn: Hope Presbyterian Church 1100 Enterprise Road Mitchellville MD 20721,(240) 678-7667,Tuesday,Every week,12:00 PM,01:30 PM,No,,,,Come around church to rear,Attn: Hope Presbyterian Church 1100 Enterprise Road Mitchellville MD 20721,1100 Enterprise Road Mitchellville MD 20721,,
Hope Presbyterian Church : Hope Presbyterian Church,MD,MD Prince George's County,Attn: Hope Presbyterian Church 1100 Enterprise Road Mitchellville MD 20721,(240) 678-7667,Thursday,Every week,12:00 PM,01:30 PM,No,,,,Come around church to rear,Attn: Hope Presbyterian Church 1100 Enterprise Road Mitchellville MD 20721,1100 Enterprise Road Mitchellville MD 20721,,
Fort Washington Food Pantry : Fort Washington Food Pantry,MD,MD Prince George's County,Attn: Fort Washington Food Pantry 9801 Livingston Road Fort Washington MD 20744,(202) 679-8898,Saturday,Every week,09:00 AM,11:00 AM,No,Zip Code,,,"You must live in one of the following zp codes 20607, 20616, 20640, 20735, 20744, 20745, and 20748",Attn: Fort Washington Food Pantry 9801 Livingston Road Fort Washington MD 20744,9801 Livingston Road Fort Washington MD 20744,38.7556609,-77.0009664
Fort Washington Food Pantry : Fort Washington Food Pantry,MD,MD Prince George's County,Attn: Fort Washington Food Pantry 9801 Livingston Road Fort Washington MD 20744,(202) 679-8898,Wednesday,2nd of the Month,10:30 AM,11:30 AM,No,,,,Produce is offered on the 2nd Wednesday of the month with a drive thru distribution.,Attn: Fort Washington Food Pantry 9801 Livingston Road Fort Washington MD 20744,9801 Livingston Road Fort Washington MD 20744,38.7556609,-77.0009664
Southern Friendship Missionary Baptist Church : Southern Friendship Missionary Baptist Church,MD,MD Prince George's County,Attn: Southern Friendship Missionary Baptist Church 4444 Branch Avenue Temple Hills MD 20748,(301) 523-6090,Tuesday,1st and 3rd of the Month,09:00 AM,01:00 PM,No,,,,,Attn: Southern Friendship Missionary Baptist Church 4444 Branch Avenue Temple Hills MD 20748,4444 Branch Avenue Temple Hills MD 20748,,
St. Stephen's United Methodist Church : St. Stephen's UMC,VA,VA Fairfax County,Attn: St. Stephen's UMC 9203 Braddock Rd  Burke  VA 22015,(703) 978-8724,Friday,1st of the Month,04:00 PM,06:00 PM,No,Zip Code,,,Distribution of fresh vegetables sorted and packaged into family offerings,Attn: St. Stephen's UMC 9203 Braddock Rd  Burke  VA 22015,9203 Braddock Rd Burke VA 22015,,
St. Stephen's United Methodist Church : St. Stephen's UMC,VA,VA Fairfax County,Attn: St. Stephen's UMC 9203 Braddock Rd  Burke  VA 22015,(703) 978-8724,As Needed,As Needed,09:00 AM,04:00 PM,No,Zip Code,,,Emergency food - grocery bag provided on request at church office,Attn: St. Stephen's UMC 9203 Braddock Rd  Burke  VA 22015,9203 Braddock Rd Burke VA 22015,,
Oxon Hill Church of Christ : Oxon Hill Church of Christ,MD,MD Prince George's County,Attn: Oxon Hill Church of Christ 4201 Brinkley Road Temple Hills MD 20748,(301) 875-9322,Wednesday,4th of the Month,09:00 AM,11:00 AM,Yes,,"Drive thru,Home Delivery",Pre-bagged or boxed groceries,,Attn: Oxon Hill Church of Christ 4201 Brinkley Road Temple Hills MD 20748,4201 Brinkley Road Temple Hills MD 20748,38.8040023,-76.9520743
Walker Memorial Baptist Church : Walker Memorial Baptist Church,DC,DC Ward 1,Attn: Walker Memorial Baptist Church 2020 13th St. NW Washington DC 20009,(202) 232-1120,Wednesday,1st of the Month,11:00 AM,02:00 PM,No,,Walk up,Pre-bagged or boxed groceries,"Food Pantry will be closed on Jan. 1, 2025",Attn: Walker Memorial Baptist Church 2020 13th St. NW Washington DC 20009,2020 13th St. NW Washington DC 20009,38.9176047,-77.0299837
Maryland Umbrella Group : Maryland Umbrella Group,MD,MD Prince George's County,Attn: Maryland Umbrella Group 408 Addison Road South Seat Pleasant MD 20743,(301) 219-6650,Saturday,1st and 3rd of the Month,09:00 AM,12:00 PM,No,"ID,Income,Zip Code",,,Our food distribution is in conjunction with our diaper registration.  You must pre-register for diapers to receive food.,Attn: Maryland Umbrella Group 408 Addison Road South Seat Pleasant MD 20743,408 Addison Road South Seat Pleasant MD 20743,38.8858579,-76.8978438
Yad Yehuda of Greater Washington : Yad Yehuda of Greater Washington,MD,MD Montgomery County,Attn: Yad Yehuda of Greater Washington 9601 Colesville Rd Silver Spring MD 20902,(301) 842-7135,Tuesday,Every week,07:00 AM,10:00 AM,Yes,Zip Code,,,,Attn: Yad Yehuda of Greater Washington 9601 Colesville Rd Silver Spring MD 20902,9601 Colesville Rd Silver Spring MD 20902,39.0119275,-77.0172692
Yad Yehuda of Greater Washington : Yad Yehuda of Greater Washington,MD,MD Montgomery County,Attn: Yad Yehuda of Greater Washington 9601 Colesville Rd Silver Spring MD 20902,(301) 842-7135,Wednesday,Every week,07:00 AM,10:00 PM,Yes,Zip Code,,,,Attn: Yad Yehuda of Greater Washington 9601 Colesville Rd Silver Spring MD 20902,9601 Colesville Rd Silver Spring MD 20902,39.0119275,-77.0172692
Mid County United Ministries (MUM) : Mid County United Ministries (MUM),MD,MD Montgomery County,Attn: Mid County United Ministries (MUM) 11002 Viers Mill Road Suite 710 Wheaton MD 20902,(202) 368-5466,Wednesday,Every week,10:00 AM,12:00 PM,No,"ID,Zip Code",,,"By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910, 20912 & 20783.",Attn: Mid County United Ministries (MUM) 11002 Viers Mill Road Suite 710 Wheaton MD 20902,11002 Viers Mill Road Suite 710 Wheaton MD 20902,,
Mid County United Ministries (MUM) : Mid County United Ministries (MUM),MD,MD Montgomery County,Attn: Mid County United Ministries (MUM) 11002 Viers Mill Road Suite 710 Wheaton MD 20902,(202) 368-5466,Wednesday,Every week,01:00 PM,03:00 PM,No,"ID,Zip Code",,,"By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910, 20912 & 20783.",Attn: Mid County United Ministries (MUM) 11002 Viers Mill Road Suite 710 Wheaton MD 20902,11002 Viers Mill Road Suite 710 Wheaton MD 20902,,
Mid County United Ministries (MUM) : Mid County United Ministries (MUM),MD,MD Montgomery County,Attn: Mid County United Ministries (MUM) 11002 Viers Mill Road Suite 710 Wheaton MD 20902,(202) 368-5466,Thursday,Every week,10:00 AM,12:00 PM,No,"ID,Zip Code",,,"By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910, 20912 & 20783.",Attn: Mid County United Ministries (MUM) 11002 Viers Mill Road Suite 710 Wheaton MD 20902,11002 Viers Mill Road Suite 710 Wheaton MD 20902,,
Mid County United Ministries (MUM) : Mid County United Ministries (MUM),MD,MD Montgomery County,Attn: Mid County United Ministries (MUM) 11002 Viers Mill Road Suite 710 Wheaton MD 20902,(202) 368-5466,Thursday,Every week,01:00 PM,03:00 PM,No,"ID,Zip Code",,,"By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910, 20912 & 20783.",Attn: Mid County United Ministries (MUM) 11002 Viers Mill Road Suite 710 Wheaton MD 20902,11002 Viers Mill Road Suite 710 Wheaton MD 20902,,
Greater Refuge Ministries : Greater Refuge Ministries,MD,MD Prince George's County,Attn: Greater Refuge Ministries 9512 Piscataway Road Clinton MD 20735,(301) 856-8806,Friday,3rd of the Month,08:30 AM,10:30 AM,No,,Drive thru,"Loose groceries,Pre-bagged or boxed groceries",Appointments can be made by calling Jim,Attn: Greater Refuge Ministries 9512 Piscataway Road Clinton MD 20735,9512 Piscataway Road Clinton MD 20735,38.7409427,-76.9393445
Fountain Community Enrichment Inc : Fountain Community Enrichment Inc.,MD,MD Prince George's County,Attn: Fountain Community Enrichment Inc. 15853 Commerce Court Upper Marlboro MD 20774,(301) 335-5038,As Needed,Every week,,,Yes,,Walk up,Pre-bagged or boxed groceries,,Attn: Fountain Community Enrichment Inc. 15853 Commerce Court Upper Marlboro MD 20774,15853 Commerce Court Upper Marlboro MD 20774,,
Bread for the City : Bread For The City NW Center,DC,DC Ward 2,Attn: Bread For The City NW 1525 7th St. NW Washington DC 20001,(202) 773-2308,Friday,1st and 3rd of the Month,09:00 AM,11:30 AM,No,,,,Free Farmers Market - open to anyone,Attn: Bread For The City NW 1525 7th St. NW Washington DC 20001,1525 7th St. NW Washington DC 20001,38.9103207,-77.0215904
The Hope Center : The Hope Center,MD,MD Prince George's County,Attn: The Hope Center 4915 Wheeler Rd Oxon Hill MD 20745,(410) 877-4444,Saturday,1st and 3rd of the Month,10:00 AM,12:00 PM,No,,"Drive thru,Home Delivery",Pre-bagged or boxed groceries,Can call to make an appointment for emergencies,Attn: The Hope Center 4915 Wheeler Rd Oxon Hill MD 20745,4915 Wheeler Rd Oxon Hill MD 20745,38.8217049,-76.9688606
Friends Of Douglas Community Center : Friends Of Douglass Community Center,DC,DC Ward 8,Attn: Friends Of Douglas Community Center 3261 Stanton Road SE Washington DC 20020,(202) 285-5354,Wednesday,Every week,12:00 PM,06:00 PM,No,"ID,Income,Zip Code",,,,Attn: Friends Of Douglas Community Center 3261 Stanton Road SE Washington DC 20020,3261 Stanton Road SE Washington DC 20020,38.8477205,-76.9807019
Iglesia Evangelica Cristo Promesa Fiel : Iglesia Evangelica Cristo Promesa Fiel,MD,MD Montgomery County,Attn: Iglesia Evangelica Cristo Promesa Fiel 17017 Georgia Avenue Olney MD 20832,(301) 408-8302,Tuesday,Every week,05:00 PM,08:00 PM,Yes,Zip Code,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,Attn: Iglesia Evangelica Cristo Promesa Fiel 17017 Georgia Avenue Olney MD 20832,17017 Georgia Avenue Olney MD 20832,39.1358094,-77.0696814
Bread for the City : Bread for the City SE Center,DC,DC Ward 8,Attn: Bread For The City SE 1700 Good Hope Road SE Washington DC 20020,(202) 773-2308,Friday,2nd and 4th of the Month,09:00 AM,11:30 AM,No,,,,Free Farmers Market - open to anyone,Attn: Bread For The City SE 1700 Good Hope Road SE Washington DC 20020,1700 Good Hope Road SE Washington DC 20020,,
DC Doors : DC Doors,DC,DC Ward 5,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,(202) 248-2098,Sunday,Every week,07:00 AM,10:00 PM,No,,Walk up,Prepared meals,,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,900 Rhode Island Ave NW Washington DC 20018,38.911636,-77.0234149
DC Doors : DC Doors,DC,DC Ward 5,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,(202) 248-2098,Monday,Every week,09:30 AM,04:30 PM,No,,Walk up,Prepared meals,,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,900 Rhode Island Ave NW Washington DC 20018,38.911636,-77.0234149
DC Doors : DC Doors,DC,DC Ward 5,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,(202) 248-2098,Tuesday,Every week,09:30 AM,04:30 PM,Yes,,Walk up,Prepared meals,,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,900 Rhode Island Ave NW Washington DC 20018,38.911636,-77.0234149
DC Doors : DC Doors,DC,DC Ward 5,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,(202) 248-2098,Wednesday,Every week,09:30 AM,04:30 PM,Yes,,Walk up,Prepared meals,,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,900 Rhode Island Ave NW Washington DC 20018,38.911636,-77.0234149
DC Doors : DC Doors,DC,DC Ward 5,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,(202) 248-2098,Thursday,Every week,09:30 AM,04:30 PM,Yes,,Walk up,Prepared meals,,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,900 Rhode Island Ave NW Washington DC 20018,38.911636,-77.0234149
DC Doors : DC Doors,DC,DC Ward 5,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,(202) 248-2098,Friday,Every week,07:00 AM,10:00 PM,No,,Walk up,Prepared meals,,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,900 Rhode Island Ave NW Washington DC 20018,38.911636,-77.0234149
DC Doors : DC Doors,DC,DC Ward 5,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,(202) 248-2098,Saturday,Every week,09:30 AM,04:30 PM,Yes,,Walk up,Prepared meals,,Attn: DC Doors 900 Rhode Island Ave NW Washington DC 20018,900 Rhode Island Ave NW Washington DC 20018,38.911636,-77.0234149
Metropolitan Baptist Church : Metropolitan Baptist Church,MD,MD Prince George's County,Att: Reverend Brenda Girton Mitchell Metropolitan Baptist Church 1200 Mercantile Lane Suite 115B Largo MD 20774,,Saturday,2nd and 4th of the Month,10:00 AM,11:30 AM,No,Zip Code,,,The pantry is also available for emergencies,Att: Reverend Brenda Girton Mitchell Metropolitan Baptist Church 1200 Mercantile Lane Suite 115B Largo MD 20774,1200 Mercantile Lane Suite 115B Largo MD 20774,,
St. Philip's Episcopal Church : St. Philip's Episcopal Church,MD,MD Prince George's County,Attn: St. Philip's Episcopal Church 522 Main Street Laurel MD 20707,(301) 776-5151,Sunday,3rd of the Month,09:00 AM,12:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",Offers home deliveries too,Attn: St. Philip's Episcopal Church 522 Main Street Laurel MD 20707,522 Main Street Laurel MD 20707,39.1072638,-76.8516972
Kingdom Global Community Development Corporation : East Montgomery County Hub,MD,MD Montgomery County,Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,(202) 352-7114,Saturday,Every week,09:00 AM,10:30 AM,No,ID,,,"This Distribution takes place every Saturday at the East County Rec Center located at 3310 Gateshead Manor Way, Silver Spring MD 20904. Please park if you are in a car and take your place in line right outside of the building.",Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,11710 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",VA,VA Fairfax County,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",(703) 469-7354,Monday,"1st, 2nd, and 4th of the Month",04:00 PM,07:30 PM,No,Zip Code,,,Must live in service area. Call to check.,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",6037 Franconia Road Alexandria VA 22310,,
Jamil-UL Jalil : Jamil-UL Jalil,MD,MD Prince George's County,Attn: Jamil-UL Jalil 10845 Lanham Severn Road Glenn Dale MD 20769,(240) 381-1143,Friday,Every Other Week,02:00 PM,04:00 PM,No,ID,,,,Attn: Jamil-UL Jalil 10845 Lanham Severn Road Glenn Dale MD 20769,10845 Lanham Severn Road Glenn Dale MD 20769,38.9859145,-76.8210757
Central Baptist Church of Camp Springs : Central Baptist Church of Camp Springs,MD,MD Prince George's County,Attn: Central Baptist Church of Camp Springs 5600 Old Branch Avenue Camp Springs MD 20748,(301) 899-3800,Friday,Every week,10:00 AM,02:00 PM,No,,,,,Attn: Central Baptist Church of Camp Springs 5600 Old Branch Avenue Camp Springs MD 20748,5600 Old Branch Avenue Camp Springs MD 20748,38.8130599,-76.9130871
Clifton Park Baptist Church : Clifton Park Baptist Church,MD,MD Montgomery County,Attn: Clifton Park Baptist Church 8818 Piney Branch Rd Silver Spring MD 20903,(240) 372-3616,Friday,3rd of the Month,10:00 AM,11:30 AM,No,ID,,,,Attn: Clifton Park Baptist Church 8818 Piney Branch Rd Silver Spring MD 20903,8818 Piney Branch Rd Silver Spring MD 20903,38.9869092,-77.013185
CFH Inc. : CFH Inc.,VA,VA City of Manassas,Attn: CFH Inc. 9021 Centreville Road Manassas VA 20110,(571) 201-6226,Tuesday,Every week,04:00 PM,06:00 PM,No,Zip Code,,,This is for the Residents  of East End Mobile Home Park only,Attn: CFH Inc. 9021 Centreville Road Manassas VA 20110,9021 Centreville Road Manassas VA 20110,38.7590755,-77.4626493
Allen Chapel AME Church : Allen Chapel AME Church,DC,DC Ward 8,Attn: Allen Chapel AME Church 2498 Alabama Avenue SE Washington DC 20020,(202) 494-9824,Friday,Every week,09:30 AM,12:00 PM,No,ID,,,,Attn: Allen Chapel AME Church 2498 Alabama Avenue SE Washington DC 20020,2498 Alabama Avenue SE Washington DC 20020,38.8568567,-76.9702961
St. Stephen's Baptist Church : St. Stephen's Baptist Church,MD,MD Prince George's County,Attn: St. Stephen's Baptist Church 5757 Temple Hill Road Camp Springs MD 20748,(240) 350-8132,Tuesday,Every week,11:00 AM,03:00 PM,No,,,,,Attn: St. Stephen's Baptist Church 5757 Temple Hill Road Camp Springs MD 20748,5757 Temple Hill Road Camp Springs MD 20748,38.8040834,-76.9332718
LindaBen Foundation : LindaBen Foundation,MD,MD Prince George's County,Attn: LindaBen Foundation 10739 Tucker St.  Beltsville  MD 20705,(240) 461-9442,Thursday,As Needed,11:00 AM,Until Food Runs Out,Yes,"ID,Zip Code",,,,Attn: LindaBen Foundation 10739 Tucker St.  Beltsville  MD 20705,10739 Tucker St. Beltsville MD 20705,39.0261161,-76.9083386
First Baptist Church Ken-Gar : First Baptist Church Ken-Gar,MD,MD Montgomery County,Attn: First Baptist Church Ken-Gar 3922 Hampden St Kensington MD 20895,(917) 364-1681,Saturday,3rd of the Month,10:00 AM,12:00 PM,No,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: First Baptist Church Ken-Gar 3922 Hampden St Kensington MD 20895,3922 Hampden St Kensington MD 20895,39.0315438,-77.079779
First Baptist Church Ken-Gar : First Baptist Church Ken-Gar,MD,MD Montgomery County,Attn: First Baptist Church Ken-Gar 3922 Hampden St Kensington MD 20895,(917) 364-1681,Wednesday,2nd of the Month,01:00 PM,02:30 PM,No,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: First Baptist Church Ken-Gar 3922 Hampden St Kensington MD 20895,3922 Hampden St Kensington MD 20895,39.0315438,-77.079779
Great Commission Change of Life Ministries : Great Commission Change of Life Ministries,MD,MD Prince George's County,Attn: Great Commission Change of Life Ministries 7937 Penn Randall Place Unit A Upper Marlboro  MD 20772,,Thursday,Every week,10:30 AM,12:30 PM,No,,,,,Attn: Great Commission Change of Life Ministries 7937 Penn Randall Place Unit A Upper Marlboro  MD 20772,7937 Penn Randall Place Unit A Upper Marlboro MD 20772,,
Destiny Driven : Destiny Driven,MD,MD Prince George's County,Attn: Destiny Driven 5900 Princess Garden Parkway Lanham  MD 20706,(301) 455-5970,Sunday,Every week,12:00 PM,01:00 PM,Yes,"ID,Zip Code",,,,Attn: Destiny Driven 5900 Princess Garden Parkway Lanham  MD 20706,5900 Princess Garden Parkway Lanham MD 20706,38.9658159,-76.8645706
A Place For Hashem Ministries : A Place for Hashem Ministries,MD,MD Prince George's County,A Place for Hashem Ministries 8100 Malcolm Rd Clinton MD 20735,,Saturday,2nd of the Month,09:00 AM,12:00 PM,No,,,,,A Place for Hashem Ministries 8100 Malcolm Rd Clinton MD 20735,8100 Malcolm Rd Clinton MD 20735,,
A Place For Hashem Ministries : A Place for Hashem Ministries,MD,MD Prince George's County,A Place for Hashem Ministries 8100 Malcolm Rd Clinton MD 20735,,Saturday,3rd of the Month,09:00 AM,12:00 PM,No,,,,,A Place for Hashem Ministries 8100 Malcolm Rd Clinton MD 20735,8100 Malcolm Rd Clinton MD 20735,,
No Limits Outreach Ministries : No Limits Outreach Ministries,MD,MD Prince George's County,Attn: No Limits Outreach Ministries 7721 Barlowe Rd Landover MD 20785,(202) 341-5159,Tuesday,Every week,11:00 AM,06:00 PM,No,"ID,Income,Zip Code",,,Email Nolimitsfoodpantry@gmail.com for appointment,Attn: No Limits Outreach Ministries 7721 Barlowe Rd Landover MD 20785,7721 Barlowe Rd Landover MD 20785,38.9181707,-76.8735707
No Limits Outreach Ministries : No Limits Outreach Ministries,MD,MD Prince George's County,Attn: No Limits Outreach Ministries 7721 Barlowe Rd Landover MD 20785,(202) 341-5159,Thursday,Every week,11:00 AM,06:00 PM,No,"ID,Income,Zip Code",,,Email Nolimitsfoodpantry@gmail.com for appointment,Attn: No Limits Outreach Ministries 7721 Barlowe Rd Landover MD 20785,7721 Barlowe Rd Landover MD 20785,38.9181707,-76.8735707
"So What Else, Inc : So What Else, Inc",MD,MD Montgomery County,Megan Joe 4924 wyaconda road  Rockville  MD 20852,(240) 705-4345,Wednesday,Every week,10:00 AM,06:00 PM,Yes,,,Loose groceries,,Megan Joe 4924 wyaconda road  Rockville  MD 20852,4924 wyaconda road Rockville MD 20852,,
"So What Else, Inc : So What Else, Inc",MD,MD Montgomery County,Megan Joe 4924 wyaconda road  Rockville  MD 20852,(240) 705-4345,Thursday,Every week,10:00 AM,06:00 PM,Yes,,,Loose groceries,,Megan Joe 4924 wyaconda road  Rockville  MD 20852,4924 wyaconda road Rockville MD 20852,,
"So What Else, Inc : So What Else, Inc",MD,MD Montgomery County,Megan Joe 4924 wyaconda road  Rockville  MD 20852,(240) 705-4345,Monday,Every week,08:00 AM,04:00 PM,Yes,,,Loose groceries,,Megan Joe 4924 wyaconda road  Rockville  MD 20852,4924 wyaconda road Rockville MD 20852,,
"So What Else, Inc : So What Else, Inc",MD,MD Montgomery County,Megan Joe 4924 wyaconda road  Rockville  MD 20852,(240) 705-4345,Friday,Every week,08:00 AM,04:00 PM,Yes,,,Loose groceries,,Megan Joe 4924 wyaconda road  Rockville  MD 20852,4924 wyaconda road Rockville MD 20852,,
"So What Else, Inc : So What Else, Inc",MD,MD Montgomery County,Megan Joe 4924 wyaconda road  Rockville  MD 20852,(240) 705-4345,Saturday,Every week,06:00 AM,12:00 PM,Yes,,,Loose groceries,,Megan Joe 4924 wyaconda road  Rockville  MD 20852,4924 wyaconda road Rockville MD 20852,,
Silver Spring Christian Reformed Church : Silver Spring Christian Reformed Church,MD,MD Montgomery County,Attn: Silver Spring Christian Reformed Church 1501 Arcola Ave Silver Spring MD 20902,(301) 284-8401,Tuesday,3rd of the Month,04:00 PM,07:00 PM,No,,,,This distribution is by referral only.,Attn: Silver Spring Christian Reformed Church 1501 Arcola Ave Silver Spring MD 20902,1501 Arcola Ave Silver Spring MD 20902,39.0471345,-77.0497672
First Baptist Church of Highland Park : First Baptist Church of Highland Park,MD,MD Prince George's County,Attn: First Baptist Church of Highland Park 6801 Sheriff Road Landover MD 20785,(301) 773-6655,As Needed,Every week,09:00 AM,03:00 PM,No,"ID,Income",,,We will take walkins,Attn: First Baptist Church of Highland Park 6801 Sheriff Road Landover MD 20785,6801 Sheriff Road Landover MD 20785,38.909774,-76.890797
Mother of Light Center : Mother of Light Center,VA,VA City of Alexandria,Attn: Mother of Light Center 421 Clifford Ave Alexandria VA 22305,(703) 508-5289,Monday,Every week,10:00 AM,01:00 PM,Yes,"Income,Zip Code",Home Delivery,,,Attn: Mother of Light Center 421 Clifford Ave Alexandria VA 22305,421 Clifford Ave Alexandria VA 22305,38.8320336,-77.0530997
Mother of Light Center : Mother of Light Center,VA,VA City of Alexandria,Attn: Mother of Light Center 421 Clifford Ave Alexandria VA 22305,(703) 508-5289,Tuesday,Every week,10:00 AM,01:00 PM,Yes,"Income,Zip Code",Home Delivery,,,Attn: Mother of Light Center 421 Clifford Ave Alexandria VA 22305,421 Clifford Ave Alexandria VA 22305,38.8320336,-77.0530997
Mother of Light Center : Mother of Light Center,VA,VA City of Alexandria,Attn: Mother of Light Center 421 Clifford Ave Alexandria VA 22305,(703) 508-5289,Wednesday,Every week,10:00 AM,01:00 PM,Yes,"Income,Zip Code",Home Delivery,,,Attn: Mother of Light Center 421 Clifford Ave Alexandria VA 22305,421 Clifford Ave Alexandria VA 22305,38.8320336,-77.0530997
The Family Place : The Family Place,DC,DC Ward 1,Attn: The Family Place 3309 16th St NW Washington DC DC 20010,(202) 644-1125,Monday,Every week,09:00 AM,04:00 PM,No,Income,,,We always have emergency food bags!,Attn: The Family Place 3309 16th St NW Washington DC DC 20010,3309 16th St NW Washington DC DC 20010,38.9319143,-77.036063
